암호화 YKIHO 코드,요양기관명,검색코드,검색코드명
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,(VOM)봄안과의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,(복지)예사랑병원,12,알코올질환입원치료병원
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,(사)대한신장복지회 대신의원,13,혈액투석
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz,(사)모퉁이복지재단 인천재활의원,13,혈액투석
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,(의)고담의료재단마더스병원,12,알코올질환입원치료병원
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)내경의료재단 울산제일병원,14,체외충격파쇄석술
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNDEjJDEjJDQjJDgz,(의)동남의료재단동남병원,12,알코올질환입원치료병원
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz,(의)새생명의료재단 새생명의원,13,혈액투석
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,(의)새생명의료재단 서울새생명의원,13,혈액투석
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)서봉의료재단 보강병원,50,척추
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(의)서일의료재단기장병원,09,보훈위탁병원
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(의)서일의료재단기장병원,04,성인·소아 중환자실
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(의)서일의료재단기장병원,03,응급의료병원
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjEwMDIjNDEjJDEjJDQjJDgz,(의)아나의료재단강릉아나병원,12,알코올질환입원치료병원
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz,(의)열린의료재단 강남열린의원,13,혈액투석
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)열린의료재단 은평열린의원,13,혈액투석
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)열린의료재단광주열린의원,13,혈액투석
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,(의)열린의료재단안산열린의원,13,혈액투석
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz,(의)열린의료재단한마음의원,13,혈액투석
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)영님의료재단 개금중앙요양병원,13,혈액투석
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,(의)영문의료재단 다보스병원,13,혈액투석
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,(의)영문의료재단 다보스병원,09,보훈위탁병원
